RUN 1
Victoria_Bennett: [('s=0', 'a=0'), ('s=1', 'a=0'), ('s=3', 'a=0'), ('s=4', 'a=0'), ('s=3', 'a=0'), ('s=3', 'a=0'), ('s=4', 'a=0'), ('s=4', 'a=0'), ('s=4', 'a=0'), ('s=4', 'a=0')]
Olivia_Morgan: [('s=1', 'a=0'), ('s=2', 'a=0'), ('s=1', 'a=1'), ('s=2', 'a=0'), ('s=1', 'a=0'), ('s=2', 'a=0'), ('s=1', 'a=0'), ('s=2', 'a=0'), ('s=3', 'a=0'), ('s=2', 'a=0')]
William_Miller: [('s=0', 'a=0'), ('s=0', 'a=1'), ('s=2', 'a=0'), ('s=1', 'a=0'), ('s=2', 'a=1'), ('s=2', 'a=0'), ('s=3', 'a=0'), ('s=3', 'a=0'), ('s=2', 'a=0'), ('s=2', 'a=0')]
Patrick_Cooper: [('s=0', 'a=1'), ('s=1', 'a=0'), ('s=2', 'a=1'), ('s=2', 'a=0'), ('s=2', 'a=0'), ('s=2', 'a=0'), ('s=2', 'a=1'), ('s=3', 'a=0'), ('s=2', 'a=0'), ('s=3', 'a=0')]
Mark_Lewis: [('s=0', 'a=0'), ('s=1', 'a=0'), ('s=0', 'a=2'), ('s=2', 'a=0'), ('s=2', 'a=0'), ('s=2', 'a=1'), ('s=2', 'a=0'), ('s=2', 'a=1'), ('s=2', 'a=0'), ('s=2', 'a=0')]
Jennifer_Lopez: [('s=0', 'a=0'), ('s=2', 'a=0'), ('s=2', 'a=0'), ('s=0', 'a=0'), ('s=2', 'a=0'), ('s=2', 'a=0'), ('s=2', 'a=2'), ('s=1', 'a=0'), ('s=2', 'a=0'), ('s=2', 'a=0')]
Brandon_Sanchez: [('s=1', 'a=0'), ('s=1', 'a=2'), ('s=1', 'a=0'), ('s=0', 'a=0'), ('s=2', 'a=0'), ('s=1', 'a=2'), ('s=2', 'a=0'), ('s=2', 'a=0'), ('s=2', 'a=0'), ('s=2', 'a=0')]
Eva_West: [('s=0', 'a=1'), ('s=2', 'a=1'), ('s=2', 'a=2'), ('s=2', 'a=2'), ('s=2', 'a=2'), ('s=2', 'a=0'), ('s=2', 'a=0'), ('s=3', 'a=0'), ('s=2', 'a=0'), ('s=2', 'a=0')]
Charles_Moore: [('s=0', 'a=0'), ('s=2', 'a=2'), ('s=2', 'a=0'), ('s=0', 'a=0'), ('s=0', 'a=0'), ('s=1', 'a=0'), ('s=2', 'a=0'), ('s=2', 'a=1'), ('s=2', 'a=0'), ('s=2', 'a=0')]
Nancy_White: [('s=0', 'a=2'), ('s=2', 'a=0'), ('s=1', 'a=2'), ('s=1', 'a=0'), ('s=0', 'a=0'), ('s=2', 'a=1'), ('s=3', 'a=0'), ('s=2', 'a=0'), ('s=1', 'a=0'), ('s=2', 'a=0')]
Jasmine_Alexander: [('s=0', 'a=0'), ('s=2', 'a=0'), ('s=2', 'a=1'), ('s=2', 'a=1'), ('s=2', 'a=0'), ('s=2', 'a=0'), ('s=2', 'a=1'), ('s=2', 'a=1'), ('s=2', 'a=0'), ('s=3', 'a=0')]
AJenkins: [('s=0', 'a=1'), ('s=1', 'a=0'), ('s=2', 'a=1'), ('s=2', 'a=0'), ('s=2', 'a=2'), ('s=2', 'a=0'), ('s=2', 'a=0'), ('s=1', 'a=0'), ('s=2', 'a=1'), ('s=3', 'a=0')]
Gabriel_Simmons: [('s=0', 'a=0'), ('s=0', 'a=2'), ('s=1', 'a=0'), ('s=2', 'a=0'), ('s=1', 'a=1'), ('s=2', 'a=1'), ('s=2', 'a=0'), ('s=2', 'a=0'), ('s=2', 'a=0'), ('s=2', 'a=2')]
Aubrey_Price: [('s=1', 'a=2'), ('s=2', 'a=0'), ('s=1', 'a=0'), ('s=2', 'a=0'), ('s=0', 'a=0'), ('s=2', 'a=0'), ('s=2', 'a=0'), ('s=2', 'a=0'), ('s=2', 'a=0'), ('s=2', 'a=1')]
Brian_Hill: [('s=0', 'a=1'), ('s=2', 'a=0'), ('s=2', 'a=0'), ('s=1', 'a=1'), ('s=2', 'a=0'), ('s=2', 'a=0'), ('s=2', 'a=0'), ('s=2', 'a=0'), ('s=2', 'a=0'), ('s=2', 'a=0')]
Rebecca_Torres: [('s=0', 'a=0'), ('s=2', 'a=0'), ('s=1', 'a=2'), ('s=2', 'a=0'), ('s=2', 'a=0'), ('s=2', 'a=0'), ('s=2', 'a=0'), ('s=2', 'a=0'), ('s=2', 'a=0'), ('s=2', 'a=0')]
Janice_Brooks: [('s=2', 'a=1'), ('s=1', 'a=1'), ('s=0', 'a=1'), ('s=0', 'a=2'), ('s=0', 'a=0'), ('s=2', 'a=2'), ('s=2', 'a=0'), ('s=2', 'a=1'), ('s=2', 'a=0'), ('s=2', 'a=0')]
Owen_Ford: [('s=0', 'a=1'), ('s=1', 'a=1'), ('s=2', 'a=1'), ('s=1', 'a=0'), ('s=2', 'a=0'), ('s=2', 'a=0'), ('s=1', 'a=0'), ('s=2', 'a=0'), ('s=2', 'a=0'), ('s=2', 'a=0')]
Donna_King: [('s=2', 'a=0'), ('s=2', 'a=0'), ('s=2', 'a=0'), ('s=2', 'a=0'), ('s=2', 'a=0'), ('s=0', 'a=0'), ('s=2', 'a=2'), ('s=3', 'a=0'), ('s=3', 'a=0'), ('s=2', 'a=0')]
Casey_Barnes: [('s=0', 'a=2'), ('s=0', 'a=1'), ('s=1', 'a=1'), ('s=1', 'a=2'), ('s=1', 'a=0'), ('s=0', 'a=1'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=1')]
Emma_Roberts: [('s=0', 'a=1'), ('s=0', 'a=2'), ('s=1', 'a=0'), ('s=1', 'a=0'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=1', 'a=0'), ('s=1', 'a=2'), ('s=1', 'a=0'), ('s=1', 'a=2')]
Robert_Williams: [('s=0', 'a=0'), ('s=0', 'a=1'), ('s=1', 'a=0'), ('s=1', 'a=0'), ('s=1', 'a=0'), ('s=0', 'a=1'), ('s=1', 'a=2'), ('s=1', 'a=2'), ('s=0', 'a=2'), ('s=1', 'a=2')]
Jeffrey_Hall: [('s=0', 'a=1'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=0'), ('s=0', 'a=1'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=1', 'a=1'), ('s=0', 'a=2'), ('s=1', 'a=0')]
Samantha_Butler: [('s=0', 'a=1'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=2', 'a=2'), ('s=1', 'a=1'), ('s=0', 'a=1'), ('s=0', 'a=2'), ('s=2', 'a=0'), ('s=1', 'a=2')]
Adam_Bell: [('s=0', 'a=1'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=1', 'a=0'), ('s=1', 'a=1'), ('s=0', 'a=1'), ('s=1', 'a=2'), ('s=0', 'a=1'), ('s=0', 'a=2'), ('s=1', 'a=2')]
Barbara_Davis: [('s=0', 'a=2'), ('s=1', 'a=1'), ('s=1', 'a=1'), ('s=1', 'a=1'), ('s=0', 'a=1'), ('s=0', 'a=1'), ('s=0', 'a=1'), ('s=0', 'a=2'), ('s=1', 'a=2'), ('s=0', 'a=2')]
Diane_Richardson: [('s=1', 'a=1'), ('s=1', 'a=1'), ('s=1', 'a=0'), ('s=0', 'a=1'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=1', 'a=1'), ('s=1', 'a=1'), ('s=1', 'a=1'), ('s=1', 'a=0')]
Helen_Robinson: [('s=0', 'a=2'), ('s=0', 'a=1'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=1', 'a=2'), ('s=0', 'a=1'), ('s=1', 'a=2'), ('s=0', 'a=2'), ('s=1', 'a=2'), ('s=1', 'a=0')]
Richard_Wilson: [('s=0', 'a=1'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=1', 'a=1'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=1', 'a=2'), ('s=0', 'a=2')]
Laura_Morris: [('s=0', 'a=1'), ('s=0', 'a=1'), ('s=1', 'a=2'), ('s=0', 'a=2'), ('s=1', 'a=1'), ('s=1', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=1', 'a=2'), ('s=1', 'a=0')]
Julian_Cole: [('s=0', 'a=1'), ('s=0', 'a=1'), ('s=1', 'a=1'), ('s=0', 'a=1'), ('s=0', 'a=2'), ('s=1', 'a=0'), ('s=0', 'a=2'), ('s=1', 'a=2'), ('s=1', 'a=2'), ('s=1', 'a=1')]
Dorothy_Jackson: [('s=0', 'a=1'), ('s=1', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=1'), ('s=0', 'a=1'), ('s=0', 'a=2'), ('s=0', 'a=1'), ('s=1', 'a=2'), ('s=1', 'a=0'), ('s=0', 'a=1')]
Matthew_Harris: [('s=1', 'a=2'), ('s=2', 'a=2'), ('s=1', 'a=1'), ('s=0', 'a=1'), ('s=0', 'a=0'), ('s=2', 'a=0'), ('s=0', 'a=1'), ('s=0', 'a=2'), ('s=1', 'a=2'), ('s=1', 'a=0')]
Connor_Russell: [('s=0', 'a=1'), ('s=0', 'a=2'), ('s=1', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=1', 'a=1'), ('s=0', 'a=2'), ('s=1', 'a=1')]
Quinn_Perry: [('s=0', 'a=1'), ('s=0', 'a=1'), ('s=0', 'a=1'), ('s=1', 'a=1'), ('s=1', 'a=2'), ('s=1', 'a=1'), ('s=0', 'a=2'), ('s=1', 'a=2'), ('s=2', 'a=0'), ('s=1', 'a=0')]
Madison_Bryant: [('s=0', 'a=2'), ('s=1', 'a=1'), ('s=0', 'a=2'), ('s=1', 'a=1'), ('s=0', 'a=2'), ('s=1', 'a=0'), ('s=1', 'a=1'), ('s=1', 'a=1'), ('s=0', 'a=2'), ('s=1', 'a=1')]
Miles_Jenkins: [('s=0', 'a=1'), ('s=0', 'a=2'), ('s=0', 'a=0'), ('s=0', 'a=2'), ('s=1', 'a=1'), ('s=0', 'a=2'), ('s=1', 'a=2'), ('s=1', 'a=1'), ('s=1', 'a=1'), ('s=0', 'a=2')]
Sharon_Flores: [('s=0', 'a=1'), ('s=1', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=1', 'a=2'), ('s=1', 'a=2'), ('s=0', 'a=1'), ('s=1', 'a=2'), ('s=0', 'a=1'), ('s=0', 'a=2')]
Frank_Parker: [('s=2', 'a=1'), ('s=1', 'a=1'), ('s=0', 'a=1'), ('s=0', 'a=1'), ('s=0', 'a=0'), ('s=0', 'a=1'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=1', 'a=0'), ('s=1', 'a=1')]
Samuel_Kelly: [('s=0', 'a=2'), ('s=1', 'a=1'), ('s=0', 'a=2'), ('s=1', 'a=2'), ('s=0', 'a=2'), ('s=1', 'a=2'), ('s=2', 'a=1'), ('s=1', 'a=1'), ('s=0', 'a=2'), ('s=2', 'a=2')]
Isabella_Hamilton: [('s=0', 'a=1'), ('s=0', 'a=2'), ('s=1', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=1', 'a=2'), ('s=0', 'a=2'), ('s=1', 'a=0'), ('s=0', 'a=2'), ('s=0', 'a=2')]
Andrew_Wright: [('s=0', 'a=1'), ('s=0', 'a=1'), ('s=1', 'a=2'), ('s=1', 'a=2'), ('s=0', 'a=1'), ('s=1', 'a=2'), ('s=0', 'a=2'), ('s=1', 'a=2'), ('s=0', 'a=1'), ('s=0', 'a=1')]
Jamie_Ross: [('s=1', 'a=1'), ('s=1', 'a=1'), ('s=1', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=1'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=1', 'a=1')]
Gary_Phillips: [('s=0', 'a=2'), ('s=1', 'a=1'), ('s=1', 'a=2'), ('s=0', 'a=1'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=1', 'a=0'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2')]
Patricia_Brown: [('s=0', 'a=2'), ('s=1', 'a=0'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=1', 'a=1'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=1')]
Angela_Rivera: [('s=1', 'a=2'), ('s=1', 'a=2'), ('s=0', 'a=2'), ('s=1', 'a=2'), ('s=0', 'a=1'), ('s=0', 'a=0'), ('s=0', 'a=2'), ('s=0', 'a=1'), ('s=0', 'a=2'), ('s=0', 'a=2')]
Caleb_Simmons: [('s=0', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=1', 'a=0'), ('s=0', 'a=2'), ('s=0', 'a=1'), ('s=0', 'a=2'), ('s=1', 'a=2'), ('s=0', 'a=1'), ('s=0', 'a=2')]
Cheryl_Murphy: [('s=0', 'a=2'), ('s=1', 'a=2'), ('s=1', 'a=2'), ('s=0', 'a=2'), ('s=1', 'a=2'), ('s=0', 'a=1'), ('s=0', 'a=1'), ('s=0', 'a=2'), ('s=1', 'a=1'), ('s=0', 'a=2')]
James_Rodriguez: [('s=0', 'a=2'), ('s=0', 'a=1'), ('s=2', 'a=0'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=1', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2')]
Shane_Cox: [('s=0', 'a=1'), ('s=0', 'a=1'), ('s=0', 'a=2'), ('s=1', 'a=0'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=1', 'a=1'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=1', 'a=0')]
Steven_Walker: [('s=0', 'a=1'), ('s=0', 'a=2'), ('s=1', 'a=2'), ('s=1', 'a=1'), ('s=0', 'a=2'), ('s=0', 'a=1'), ('s=0', 'a=2'), ('s=0', 'a=1'), ('s=0', 'a=1'), ('s=0', 'a=2')]
Susan_Anderson: [('s=2', 'a=0'), ('s=2', 'a=0'), ('s=2', 'a=0'), ('s=1', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2')]
Benjamin_Rogers: [('s=0', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=1', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=1', 'a=1')]
Naomi_Jordan: [('s=1', 'a=1'), ('s=1', 'a=0'), ('s=1', 'a=2'), ('s=1', 'a=1'), ('s=2', 'a=0'), ('s=2', 'a=2'), ('s=0', 'a=1'), ('s=1', 'a=2'), ('s=1', 'a=1'), ('s=0', 'a=2')]
Christopher_Martin: [('s=1', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=0'), ('s=1', 'a=2'), ('s=0', 'a=2')]
Karen_Sanchez: [('s=0', 'a=2'), ('s=3', 'a=1'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=1', 'a=2'), ('s=0', 'a=2'), ('s=1', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2')]
Sierra_Griffin: [('s=0', 'a=1'), ('s=0', 'a=2'), ('s=2', 'a=0'), ('s=0', 'a=1'), ('s=0', 'a=2'), ('s=0', 'a=1'), ('s=1', 'a=1'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2')]
Riley_Powell: [('s=0', 'a=2'), ('s=1', 'a=0'), ('s=0', 'a=1'), ('s=1', 'a=0'), ('s=1', 'a=2'), ('s=1', 'a=2'), ('s=0', 'a=1'), ('s=1', 'a=1'), ('s=0', 'a=2'), ('s=0', 'a=0')]
Aaron_Russell: [('s=0', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=1'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=1', 'a=2')]
Caroline_Patterson: [('s=0', 'a=2'), ('s=0', 'a=2'), ('s=2', 'a=2'), ('s=2', 'a=2'), ('s=1', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=1'), ('s=0', 'a=2')]
Edward_Green: [('s=1', 'a=2'), ('s=2', 'a=0'), ('s=1', 'a=1'), ('s=3', 'a=0'), ('s=2', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=1', 'a=1'), ('s=0', 'a=2'), ('s=0', 'a=2')]
Janet_Edwards: [('s=0', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=1', 'a=2'), ('s=0', 'a=2'), ('s=1', 'a=1'), ('s=0', 'a=1'), ('s=0', 'a=2'), ('s=0', 'a=1'), ('s=0', 'a=2')]
Alice_Sanders: [('s=0', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=0'), ('s=0', 'a=1'), ('s=0', 'a=2'), ('s=0', 'a=2')]
Carter_Graham: [('s=1', 'a=0'), ('s=2', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=0'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=1', 'a=2'), ('s=1', 'a=2'), ('s=0', 'a=2')]
Carol_Scott: [('s=0', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=1'), ('s=0', 'a=2'), ('s=1', 'a=2'), ('s=1', 'a=1'), ('s=0', 'a=2'), ('s=0', 'a=2')]
Michael_Jones: [('s=0', 'a=2'), ('s=4', 'a=0'), ('s=3', 'a=1'), ('s=2', 'a=2'), ('s=1', 'a=2'), ('s=1', 'a=2'), ('s=1', 'a=2'), ('s=1', 'a=2'), ('s=0', 'a=2'), ('s=2', 'a=2')]
Theresa_Howard: [('s=2', 'a=0'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=3', 'a=2'), ('s=1', 'a=2'), ('s=0', 'a=2'), ('s=1', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2')]
Jacob_Campbell: [('s=0', 'a=2'), ('s=4', 'a=0'), ('s=4', 'a=0'), ('s=3', 'a=0'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=2', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2')]
Elizabeth_Martinez: [('s=0', 'a=2'), ('s=3', 'a=0'), ('s=1', 'a=2'), ('s=2', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=1', 'a=2'), ('s=0', 'a=2'), ('s=1', 'a=2')]
Morgan_Henderson: [('s=4', 'a=0'), ('s=4', 'a=2'), ('s=4', 'a=0'), ('s=3', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=1', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2')]
Sandra_Young: [('s=0', 'a=2'), ('s=0', 'a=2'), ('s=1', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=1', 'a=2'), ('s=0', 'a=2'), ('s=1', 'a=2'), ('s=1', 'a=2'), ('s=0', 'a=2')]
Isaac_Hayes: [('s=1', 'a=2'), ('s=0', 'a=2'), ('s=2', 'a=0'), ('s=3', 'a=2'), ('s=0', 'a=2'), ('s=3', 'a=0'), ('s=3', 'a=0'), ('s=1', 'a=2'), ('s=2', 'a=1'), ('s=0', 'a=2')]
